ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at,checked_at,check_result,check_reliability
2606:1a40::32,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-10-12T14:36:22Z,2022-10-07T03:36:41Z,,,
2606:1a40:1::32,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-10-11T09:36:32Z,2022-10-07T03:36:42Z,,,
2606:1a40::33,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-10-12T08:30:03Z,2022-10-07T03:37:07Z,,,
2606:1a40:1::33,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-10-12T12:36:29Z,2022-10-07T03:37:08Z,,,
2606:1a40::34,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-10-07T15:43:46Z,2022-10-07T03:37:29Z,,,
2606:1a40:1::34,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,0.99,2022-10-12T01:32:54Z,2022-10-07T03:37:30Z,,,
2606:1a40::35,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-12-01T09:40:54Z,2022-10-07T03:37:49Z,,,
2606:1a40:1::35,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,0.99,2022-10-11T09:36:28Z,2022-10-07T03:37:50Z,,,
2606:1a40::36,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-10-10T09:33:21Z,2022-10-07T03:38:07Z,,,
2606:1a40:1::36,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-12-06T23:22:19Z,2022-10-07T03:38:08Z,,,
2606:1a40::37,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-12-06T21:56:27Z,2022-10-07T03:38:42Z,,,
2606:1a40:1::37,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2023-02-15T21:25:20Z,2022-10-07T03:38:43Z,,,
2606:1a40::38,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-10-07T15:44:35Z,2022-10-07T03:38:44Z,,,
2606:1a40:1::38,,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2023-02-21T07:45:28Z,2022-10-07T03:38:45Z,,,
2606:1a40::,p0.freedns.controld.com.,398962,CONTROLD,CA,,PowerDNS Recursor 4.7.0 (built May 29 2022 15:44:44 by root@f43d86967018),,TRUE,1,2022-10-07T15:43:45Z,2022-10-07T03:39:39Z,,,
2606:1a40::2,p2.freedns.controld.com.,398962,CONTROLD,CA,,,,TRUE,1,2022-10-12T12:36:20Z,2022-10-07T03:39:41Z,,,
2606:1a40:1::2,s2.freedns.controld.com.,398962,CONTROLD,CA,,,,TRUE,1,2022-12-06T23:22:07Z,2022-10-07T03:39:42Z,,,
2606:1a40::3,p3.freedns.controld.com.,398962,CONTROLD,CA,,,,TRUE,1,2022-11-11T00:47:14Z,2022-10-07T03:40:31Z,,,
2606:1a40:1::3,s3.freedns.controld.com.,398962,CONTROLD,CA,,,,TRUE,1,2022-10-07T15:43:53Z,2022-10-07T03:40:32Z,,,
2a01:238:4231:5200::1,,6724,Strato AG,DE,,9.18.7,,TRUE,1,2022-10-07T13:05:26Z,2022-10-07T13:05:26Z,,,
2a03:94e0:1804::1,,56655,TerraHost AS,NO,Sandefjord,9.18.7,,TRUE,1,2022-12-06T23:22:20Z,2022-10-07T14:09:34Z,,,
2001:df0:27b::226,,58487,CV. Rumahweb Indonesia,JP,Himeji,,,TRUE,0.91,2022-11-14T14:34:12Z,2022-11-03T16:20:12Z,,,
2606:4700:4700::1111,one.one.one.one.,13335,CLOUDFLARENET,US,,,,TRUE,1,2022-12-06T23:55:19Z,2022-11-30T23:43:06Z,,,
2a06:1c40:3::13,dns.lars-lehmann.net.,204035,oneCorp GmbH,DE,DÃ¼sseldorf,Served by PowerDNS - https://www.powerdns.com/,,TRUE,1,2023-02-19T20:01:26Z,2023-01-01T11:58:27Z,,,
2001:8d8:1801:86e7::1,ns1.opennameserver.org.,8560,IONOS SE,DE,,9.18.6,,TRUE,0.97,2023-02-19T20:01:26Z,2023-01-01T12:01:11Z,,,
2001:8d8:820:3a00::b:c47,dns2.dns-ga.de.,8560,IONOS SE,DE,,dns-ga.de/.net/.com,,TRUE,0.99,2023-02-19T20:01:30Z,2023-01-01T12:03:13Z,,,
2a0f:fc80::,,50902,Dns0.eu A.d.,FR,,,,TRUE,1,2023-02-21T01:53:56Z,2023-02-08T21:17:24Z,,,
